cust;Recency;first_in_windows;Freq_2Y;Freq_1Y;Freq_3M;IPT_mean;CREDIT_PAY;TIPO_TARJETA;CUS_FIRST_BUY;CANTIDAD_COMPRAS_ITEMS_USADOS;cant_dias_active_short;recency_date_short;Frequency_target
378518804;294.0;294.0;1;1;0.0;9999999.0;1.0;2.0;294.0;0;0.0;9999999.0;0.0
389613070;4.0;4.0;1;1;1.0;9999999.0;0.0;0.0;4.0;0;0.0;9999999.0;0.0
56668186;42.0;545.0;9;8;2.0;1.3045612912411808;8.0;4.0;3114.0;0;1.0;27.0;14.0
307374346;14.0;544.0;6;5;1.0;1.3015978410644582;7.0;2.0;544.0;0;3.0;1.0;6.0
211220646;31.0;48.0;3;3;3.0;0.9097719677709343;0.0;0.0;48.0;0;5.0;16.0;1.0
238238291;52.0;350.0;2;2;1.0;2.4742162640762553;0.0;0.0;350.0;0;0.0;9999999.0;3.0
279679176;70.0;84.0;2;2;2.0;1.146128035678238;12.0;2.0;84.0;0;2.0;8.0;1.0
389727188;121.0;121.0;1;1;0.0;9999999.0;0.0;0.0;121.0;0;0.0;9999999.0;0.0
62487391;277.0;425.0;3;2;0.0;1.8512583487190752;3.0;2.0;2262.0;0;0.0;9999999.0;5.0
343868157;125.0;353.0;5;5;0.0;1.7274681355913226;4.0;3.0;353.0;0;0.0;9999999.0;0.0
298850334;76.0;581.0;3;2;1.0;2.3010299956639813;1.0;2.0;581.0;1;6.0;2.0;2.0
295882630;87.0;306.0;3;3;1.0;2.0230523936230194;5.0;2.0;306.0;0;9.0;0.0;1.0
63026233;287.0;690.0;3;1;0.0;9999999.0;1.0;2.0;3891.0;0;0.0;9999999.0;0.0
173107769;255.0;255.0;1;1;0.0;9999999.0;0.0;0.0;262.0;0;0.0;9999999.0;1.0
23190637;23.0;703.0;7;1;1.0;9999999.0;0.0;0.0;2820.0;0;6.0;3.0;7.0
